Full_Name	Position	Office
DR. MAURA CONSOLACION D. CRISTOBAL, CESO III	OIC - University President	BISU Main, Tagbilaran City
DR. MA. LILIBETH G. CASTIL                	Vice President	Academic  and Related Affairs     
ATTY. JOEL D. ZAMORA	Vice President	Administration & Business Affairs
DR. ZINA D. SAYSON                       	Vice President	Research, Development and Extension  
 DR. NELSON M. PATEÑA	  OIC - Campus Director	BISU Main, Tagbilaran City
DR. MARIETTA C. MACALOLOT    	Campus Director	BISU Bilar  
DR. PROCESO M. CASTIL	Campus Director	BISU Candijay
DR. ROXANNE P. ALTEA                         	Campus Director                        	BISU Clarin                                              
DR. SAMUEL D. GULAYAN	Campus Director	BISU Calape
DR. ARCELI M. HERNANDO                        	Campus Director                                           	BISU Balilihan 
 MR. ELANO L. BAG-AO	 BOR/University Secretary	
MR. EUSEBIO M. FULLANTE                         	Accountant III, Director of Finance                 	
DR. JOCELYN P. LUMACTUD	Director, Student Affairs and Services	BISU Balilihan 
MRS. ADELYN C. IBARRA                         	Director, Registration and  Admission, Designate                                	
MRS. MISELISA S. OFAMEN	Director, Library Services	
DR. AMELIA L. ARRIESGADO                 	Director, Extension and Training            	
DR. JOSEPHINE B. NALZARO	 Director, Research and Development	
DR. ANGELINE D. BALDAPAN                	RCE/CCC/ITSO In-Charge                        	
 DR. EDITH E. ALBIT	Director, Instruction        	
DR. NELSON M. PATEÑA                                                                         	Director, Production and Business Affairs       	
 MS. SHIELA MARIE S. RANQUE	 Director, Instructional Materials Development Center 	
DR. JEAN F. NEBREA                        	Director, Quality Assurance                	
ENGR. EDWARD C. ANUTA	Director, Extension and Training            	
ENGR. PHILIP GLENN A. LIBAY                	Information System Analyst I                       	
DR. BERNARDA R. VILLAROJO	University Publication and Information Officer	
DR. VICENTA R. BARBARONA                 	Administrative Officer V (HRMO)               	
MRS. ROSE L. GALLOGO	Administrative Officer IV (Budget - Designate)	
MRS. ZENIA V. OBQUIA                                     	Administrative Officer V (Supply)	
MRS. CERINA C. NACORDA	Administrative Officer V (Record)	
